revdisp;sali;sali0;sali1;irpp
56184.6015625;61445;61044.1767068;401.606425703;-5260.39990234
56477.296875;61846;61445.7831325;401.606425703;-5368.69873047
56771.0039062;62248;61847.3895582;401.606425703;-5477.00097656
57063.6953125;62649;62248.9959839;401.606425703;-5585.29882812
57357.1015625;63051;62650.6024096;401.606425703;-5693.89990234
57650.4960938;63453;63052.2088353;401.606425703;-5802.49755859
57943.1992188;63854;63453.815261;401.606425703;-5910.79980469
58236.8984375;64256;63855.4216867;401.606425703;-6019.10009766
58530.3007812;64658;64257.0281124;401.606425703;-6127.70019531
58823.0;65059;64658.6345382;401.606425703;-6236.0
59116.4023438;65461;65060.2409639;401.606425703;-6344.60107422
59409.1015625;65862;65461.8473896;401.606425703;-6452.89990234
59702.4960938;66264;65863.4538153;401.606425703;-6561.49755859
59995.8984375;66666;66265.060241;401.606425703;-6670.10009766
60288.8984375;67067;66666.6666667;401.606425703;-6778.10009766
60582.3007812;67469;67068.2730924;401.606425703;-6886.70019531
60875.0;67870;67469.8795181;401.606425703;-6995.0
61168.40625;68272;67871.4859438;401.606425703;-7103.60253906
61461.8007812;68674;68273.0923695;401.606425703;-7212.20019531
61754.5;69075;68674.6987952;401.606425703;-7320.5
62048.1992188;69477;69076.3052209;401.606425703;-7428.79980469
62340.8984375;69878;69477.9116466;401.606425703;-7537.10009766
62634.3007812;70280;69879.5180723;401.606425703;-7645.70019531
62927.6992188;70682;70281.124498;401.606425703;-7754.29980469
63220.40625;71083;70682.7309237;401.606425703;-7862.60253906
63513.8007812;71485;71084.3373494;401.606425703;-7971.20019531
63806.5;71886;71485.9437751;401.606425703;-8079.5
64100.1992188;72288;71887.5502008;401.606425703;-8187.79980469
64393.6015625;72690;72289.1566265;401.606425703;-8296.40039062
64686.3007812;73091;72690.7630522;401.606425703;-8404.70019531
64979.6953125;73493;73092.3694779;401.606425703;-8513.29785156
65272.3984375;73894;73493.9759036;401.606425703;-8621.59960938
65566.1015625;74296;73895.5823293;401.606425703;-8729.90039062
65859.5;74698;74297.188755;401.606425703;-8838.5
66152.203125;75099;74698.7951807;401.606425703;-8946.79980469
66445.6015625;75501;75100.4016064;401.606425703;-9055.40039062
66739.0;75903;75502.0080321;401.606425703;-9164.0
67031.703125;76304;75903.6144578;401.606425703;-9272.29980469
67325.1015625;76706;76305.2208835;401.606425703;-9380.90039062
67618.1015625;77107;76706.8273092;401.606425703;-9488.90039062
67911.5;77509;77108.4337349;401.606425703;-9597.5
68204.8984375;77911;77510.0401606;401.606425703;-9706.09960938
68497.609375;78312;77911.6465863;401.606425703;-9814.40234375
68791.0;78714;78313.253012;401.606425703;-9923.0
69083.703125;79115;78714.8594378;401.606425703;-10031.2998047
69377.3984375;79517;79116.4658635;401.606425703;-10139.5996094
69670.796875;79919;79518.0722892;401.606425703;-10248.2001953
69963.5;80320;79919.6787149;401.606425703;-10356.5
70256.8984375;80722;80321.2851406;401.606425703;-10465.0996094
70549.6015625;81123;80722.8915663;401.606425703;-10573.4003906
70843.0;81525;81124.497992;401.606425703;-10682.0
71136.703125;81927;81526.1044177;401.606425703;-10790.2998047
71429.3984375;82328;81927.7108434;401.606425703;-10898.5996094
71722.796875;82730;82329.3172691;401.606425703;-11007.2001953
